SR. NO.,District,Taluka,Village Name
1,Parbhani,Jintur,Bamani
2,Parbhani,Jintur,Badapur
3,Parbhani,Jintur,Choudhi
4,Parbhani,Jintur,Kolapa
5,Parbhani,Jintur,Kavatha Badanapur
6,Parbhani,Jintur,Kurhadi
7,Parbhani,Jintur,Dahegaon
8,Parbhani,Jintur,Korwadi
9,Parbhani,Jintur,Karanji
10,Parbhani,Jintur,Kanbi
11,Parbhani,Jintur,Borgalwadi
12,Parbhani,Jintur,Brahmangaon
13,Parbhani,Jintur,Hanwatkheda
14,Parbhani,Jintur,Wazar Bk
15,Parbhani,Jintur,Dhamdham
16,Parbhani,Jintur,Assola
17,Parbhani,Jintur,Saikheda
18,Parbhani,Jintur,Dhanora Bk
19,Parbhani,Jintur,Dhanora Kh
20,Parbhani,Jintur,Vadi
21,Parbhani,Jintur,Umrad
22,Parbhani,Jintur,Kavada
23,Parbhani,Jintur,Sankrla
24,Parbhani,Jintur,Navhati Tanda
25,Parbhani,Jintur,Ghgara
26,Parbhani,Jintur,Handi
27,Parbhani,Jintur,Wagi Dhanora
28,Parbhani,Jintur,Savangi Bhabale
29,Parbhani,Jintur,Belkheda
30,Parbhani,Jintur,Kumbhephal
31,Osmanabad,Bhum,Wakwad
32,Osmanabad,Bhum,Ramkund
33,Osmanabad,Bhum,Handogri
34,Osmanabad,Bhum,Havira
35,Osmanabad,Bhum,Dindori
36,Osmanabad,Bhum,Naliwadgaon
37,Osmanabad,Kalamb,Andora
38,Osmanabad,Kalamb,Wakadi K
39,Osmanabad,Kalamb,Shirdhona
40,Osmanabad,Kalamb,Ghargaon
41,Osmanabad,Kalamb,Tadgaon
42,Osmanabad,Kalamb,Sodana Amba
43,Osmanabad,Kalamb,Wakadi
44,Osmanabad,Kalamb,Ranjani
45,Osmanabad,Kalamb,Jaifal
46,Osmanabad,Kalamb,Lasara
47,Osmanabad,Kalamb,Naigaon
48,Osmanabad,Kalamb,Boargaon
49,Osmanabad,Kalamb,Raighavan
50,Osmanabad,Kalamb,Padoli
51,Osmanabad,Kalamb,Pimpri
52,Osmanabad,Kalamb,Dhabha
53,Osmanabad,Kalamb,Kothala
54,Osmanabad,Kalamb,Aavada Shirpura
55,Osmanabad,Kalamb,Sargaon
56,Osmanabad,Kalamb,Moha
57,Osmanabad,Kalamb,Khamswadi
58,Osmanabad,Kalamb,Nagzarwadi
59,Osmanabad,Kalamb,Wagholi
60,Osmanabad,Kalamb,Shingoli
61,Osmanabad,Kalamb,Haldwadi
62,Osmanabad,Kalamb,Barmachiwadi
63,Osmanabad,Kalamb,Satefhal
64,Osmanabad,Kalamb,Soundana Dho
65,Osmanabad,Kalamb,Erandgaon
66,Osmanabad,Kalamb,Bhosa
67,Osmanabad,Kalamb,Wanewadi
68,Osmanabad,Kalamb,Shelgaon J
69,Osmanabad,Kalamb,Wadgaon J
70,Osmanabad,Kalamb,Gaur
71,Osmanabad,Kalamb,Shelgaon Di
72,Osmanabad,Kalamb,Itkur
73,Osmanabad,Kalamb,Ganbhirwadi
74,Osmanabad,Kalamb,Kauthalwadi
75,Osmanabad,Kalamb,Aadsulwadi
76,Osmanabad,Kalamb,Pathadi
77,Osmanabad,Kalamb,Aathrdi
78,Osmanabad,Kalamb,Khondla
79,Osmanabad,Kalamb,Saatra
80,Osmanabad,Kalamb,Bhogji
81,Osmanabad,Kalamb,Bhahula
82,Osmanabad,Kalamb,Aadhala
83,Osmanabad,Kalamb,Havargaon
84,Osmanabad,Kalamb,Hassegaon
85,Osmanabad,Kalamb,Massa Kh
86,Osmanabad,Kalamb,Knherwadi
87,Osmanabad,Kalamb,Govindpur
88,Osmanabad,Kalamb,Malkranja
89,Osmanabad,Kalamb,Deolali
90,Osmanabad,Kalamb,Mangrul
91,Osmanabad,Kalamb,Deodhanora
92,Osmanabad,Kalamb,Hosegaon Shi
93,Osmanabad,Kalamb,Nagulgaon
94,Osmanabad,Kalamb,Javala Kh
95,Osmanabad,Kalamb,Ekurka
96,Osmanabad,Kalamb,Borwanti
97,Osmanabad,Kalamb,Wadgaon Shi
98,Osmanabad,Kalamb,Nipani
99,Osmanabad,Kalamb,Gaurgaon
100,Osmanabad,Kalamb,Dhorala
101,Osmanabad,Kalamb,Wadhwada
102,Osmanabad,Kalamb,Sapnai
